country,location_name,timezone,last_updated,travel_safety
Romania,Bucharest,Europe/Bucharest,2024-08-16 15:15,Safe
Russia,Moscow,Europe/Moscow,2024-08-16 15:15,Caution
Rwanda,Kigali,Africa/Kigali,2024-08-16 14:15,Safe
Saint Kitts and Nevis,Basseterre,America/St_Kitts,2024-08-16 08:15,Caution
Saint Lucia,Castries,America/St_Lucia,2024-08-16 08:15,Caution
Saint Vincent and the Grenadines,Kingstown,America/St_Vincent,2024-08-16 08:15,Caution
Samoa,Apia,Pacific/Apia,2024-08-17 01:15,Unsafe
San Marino,San Marino,Europe/Rome,2024-08-16 14:15,Caution
Belgium,'S Gravenjansdijk,Europe/Brussels,2024-08-16 14:15,Unsafe
Saudi Arabia,Riyadh,Asia/Riyadh,2024-08-16 15:15,Caution
Senegal,Dakar,Africa/Dakar,2024-08-16 12:15,Caution
Serbia,Belgrade,Europe/Belgrade,2024-08-16 14:15,Safe
Seychelles Islands,Victoria,Indian/Mahe,2024-08-16 16:15,Caution
Sierra Leone,Freetown,Africa/Freetown,2024-08-16 12:15,Caution
Singapore,Singapore,Asia/Singapore,2024-08-16 20:15,Safe
Slovakia,Bratislava,Europe/Bratislava,2024-08-16 14:15,Safe
Slovenia,Ljubljana,Europe/Ljubljana,2024-08-16 14:15,Safe
Solomon Islands,Honiara,Pacific/Guadalcanal,2024-08-16 23:15,Caution
Somalia,Mogadishu,Africa/Mogadishu,2024-08-16 15:15,Caution
South Africa,Pretoria,Africa/Johannesburg,2024-08-16 14:15,Caution
South Korea,Seoul,Asia/Seoul,2024-08-16 21:15,Caution
Sudan,Juba,Africa/Khartoum,2024-08-16 14:15,Safe
Spain,Madrid,Europe/Madrid,2024-08-16 14:15,Safe
Sri Lanka,Colombo,Asia/Colombo,2024-08-16 17:45,Caution
Sudan,Khartoum,Africa/Khartoum,2024-08-16 14:15,Safe
Suriname,Paramaribo,America/Paramaribo,2024-08-16 09:15,Safe
Sweden,Stockholm,Europe/Stockholm,2024-08-16 14:15,Safe
Switzerland,Bern,Europe/Zurich,2024-08-16 14:15,Safe
Syria,Damascus,Asia/Damascus,2024-08-16 15:15,Caution
Tajikistan,Dushanbe,Asia/Dushanbe,2024-08-16 17:15,Caution
Tanzania,Dodoma,Africa/Dar_es_Salaam,2024-08-16 15:15,Caution
Thailand,Bangkok,Asia/Bangkok,2024-08-16 19:15,Caution
Timor-Leste,Dili,Asia/Dili,2024-08-16 21:15,Caution
Vietnam,Ban Lom,Asia/Bangkok,2024-08-16 19:15,Unsafe
Tonga,Nuku`Aloia,Pacific/Tongatapu,2024-08-17 01:15,Caution
Trinidad and Tobago,Port Of Spain,America/Port_of_Spain,2024-08-16 08:15,Caution
Tunisia,Tunis,Africa/Tunis,2024-08-16 13:15,Safe
Turkey,Ankara,Europe/Istanbul,2024-08-16 15:15,Safe
Turkmenistan,Ashgabat,Asia/Ashgabat,2024-08-16 17:15,Caution
Tuvalu,Funafuti,Pacific/Funafuti,2024-08-17 00:15,Unsafe
Uganda,Kampala,Africa/Kampala,2024-08-16 15:15,Safe
Ukraine,Kyiv,Europe/Kiev,2024-08-16 15:15,Safe
United Arab Emirates,Abu Dhabi,Asia/Dubai,2024-08-16 16:15,Caution
United Kingdom,London,Europe/London,2024-08-16 13:15,Safe
United States of America,Washington Harbor,America/Los_Angeles,2024-08-16 05:15,Unsafe
Uruguay,Montevideo,America/Montevideo,2024-08-16 09:15,Caution
Uzbekistan,Tashkent,Asia/Tashkent,2024-08-16 17:15,Safe
Vanuatu,Port Vila,Pacific/Efate,2024-08-16 23:15,Caution
Venezuela,Caracas,America/Caracas,2024-08-16 08:15,Caution
Vietnam,Hanoi,Asia/Bangkok,2024-08-16 19:15,Unsafe
Yemen,Sanaa,Asia/Aden,2024-08-16 15:15,Safe
Zambia,Lusaka,Africa/Lusaka,2024-08-16 14:15,Safe
Zimbabwe,Harare,Africa/Harare,2024-08-16 14:15,Safe
Afghanistan,Kabul,Asia/Kabul,2024-08-17 16:45,Safe
Albania,Tirana,Europe/Tirane,2024-08-17 14:00,Caution
Algeria,Algiers,Africa/Algiers,2024-08-17 13:15,Safe
Andorra,Andorra La Vella,Europe/Andorra,2024-08-17 14:15,Safe
Angola,Luanda,Africa/Luanda,2024-08-17 13:15,Caution
Antigua and Barbuda,Saint John's,America/Antigua,2024-08-17 08:15,Caution
Argentina,Buenos Aires,America/Argentina/Buenos_Aires,2024-08-17 09:00,Caution
Armenia,Yerevan,Asia/Yerevan,2024-08-17 16:00,Safe
Australia,Canberra,Australia/Sydney,2024-08-17 22:15,Unsafe
Austria,Vienna,Europe/Vienna,2024-08-17 14:15,Safe
Azerbaijan,Baku,Asia/Baku,2024-08-17 16:15,Safe
Bahamas,Nassau,America/Nassau,2024-08-17 08:15,Safe
Bahrain,Manama,Asia/Bahrain,2024-08-17 15:15,Caution
Bangladesh,Dhaka,Asia/Dhaka,2024-08-17 18:15,Caution
Barbados,Bridgetown,America/Barbados,2024-08-17 08:15,Caution
Belarus,Minsk,Europe/Minsk,2024-08-17 15:15,Safe
Belgium,Brussels,Europe/Brussels,2024-08-17 14:00,Safe
Belize,Belmopan,America/Belize,2024-08-17 06:15,Unsafe
Benin,Porto-Novo,Africa/Porto-Novo,2024-08-17 13:15,Safe
Bhutan,Thimphu,Asia/Thimphu,2024-08-17 18:15,Unsafe
Bolivia,Sucre,America/La_Paz,2024-08-17 08:15,Safe
Bosnia and Herzegovina,Sarajevo,Europe/Sarajevo,2024-08-17 14:15,Safe
Botswana,Gaborone,Africa/Gaborone,2024-08-17 14:15,Safe
Brazil,Bras,America/Manaus,2024-08-17 08:15,Safe
Brunei Darussalam,Bandar Seri Begawan,Asia/Brunei,2024-08-17 20:15,Unsafe
Bulgaria,Sofia,Europe/Sofia,2024-08-17 15:15,Safe
Burkina Faso,Ouagadougou,Africa/Ouagadougou,2024-08-17 12:15,Unsafe
Burundi,Bujumbura,Africa/Bujumbura,2024-08-17 14:15,Caution
Madagascar,Ivory,Indian/Antananarivo,2024-08-17 15:15,Safe
Cape Verde,Praia,Atlantic/Cape_Verde,2024-08-17 11:15,Caution
Cambodia,Phnom Penh,Asia/Phnom_Penh,2024-08-17 19:15,Caution
Cameroon,Ngaoundere,Africa/Douala,2024-08-17 13:15,Caution
Canada,Ottawa,America/Toronto,2024-08-17 08:00,Unsafe
Central African Republic,Bangui,Africa/Bangui,2024-08-17 13:15,Safe
Chad,N'djamena,Africa/Douala,2024-08-17 13:15,Safe
Chile,Santiago,America/Santiago,2024-08-17 08:15,Unsafe
China,Beijing,Asia/Shanghai,2024-08-17 20:00,Unsafe
Bulgaria,Bogot,Europe/Sofia,2024-08-17 15:15,Safe
Comoros,Moroni,Indian/Comoro,2024-08-17 15:15,Caution
Congo,Brazzaville,Africa/Brazzaville,2024-08-17 13:15,Safe
Costa Rica,San Ignacio,America/Costa_Rica,2024-08-17 06:15,Caution
Croatia,Zagreb,Europe/Zagreb,2024-08-17 14:15,Safe
Cuba,Havana,America/Havana,2024-08-17 08:15,Unsafe
Cyprus,Nicosia,Asia/Famagusta,2024-08-17 15:15,Safe
Czech Republic,Prague,Europe/Prague,2024-08-17 14:15,Caution
Democratic Republic of Congo,Kinshasa,Africa/Brazzaville,2024-08-17 13:15,Safe
Denmark,Copenhagen,Europe/Copenhagen,2024-08-17 14:15,Safe
Djibouti,Djibouti,Africa/Djibouti,2024-08-17 15:15,Caution
Dominica,Roseau,America/Dominica,2024-08-17 08:15,Caution
Dominican Republic,Santo Domingo,America/Santo_Domingo,2024-08-17 08:15,Caution
Ecuador,Quito,America/Guayaquil,2024-08-17 07:15,Safe
Egypt,Cairo,Africa/Cairo,2024-08-17 15:15,Safe
El Salvador,San Salvador,America/El_Salvador,2024-08-17 06:15,Unsafe
Equatorial Guinea,Malabo,Africa/Malabo,2024-08-17 13:15,Caution
Eritrea,Asmara,Africa/Asmara,2024-08-17 15:15,Safe
Estonia,Tallinn,Europe/Tallinn,2024-08-17 15:15,Safe
Swaziland,Mbabane,Africa/Mbabane,2024-08-17 14:15,Caution
Ethiopia,Addis Ababa,Africa/Addis_Ababa,2024-08-17 15:15,Safe
Fiji Islands,Suva,Pacific/Fiji,2024-08-18 00:15,Caution
Finland,Helsinki,Europe/Helsinki,2024-08-17 15:15,Safe
France,Paris,Europe/Paris,2024-08-17 14:15,Caution
Gabon,Libreville,Africa/Libreville,2024-08-17 13:15,Safe
Gambia,Banjul,Africa/Banjul,2024-08-17 12:15,Caution
Georgia,Tbilisi,Asia/Tbilisi,2024-08-17 16:15,Safe
Germany,Berlin,Europe/Berlin,2024-08-17 14:15,Safe
Ghana,Accra,Africa/Accra,2024-08-17 12:15,Caution
Greece,Athens,Europe/Athens,2024-08-17 15:15,Safe
Grenada,Saint George's,America/Grenada,2024-08-17 08:15,Caution
Guatemala,Guatemala City,America/Guatemala,2024-08-17 06:15,Caution
Guinea,Conakry,Africa/Conakry,2024-08-17 12:15,Caution
Guinea-Bissau,Bissau,Africa/Bissau,2024-08-17 12:15,Unsafe
Guyana,Georgetown,America/Guyana,2024-08-17 08:15,Caution
Haiti,Port-Au-Prince,America/Port-au-Prince,2024-08-17 08:15,Safe
Vatican City,Vatican City,Europe/Rome,2024-08-17 14:15,Safe
Honduras,Tegucigalpa,America/Tegucigalpa,2024-08-17 06:15,Caution
Hungary,Budapest,Europe/Budapest,2024-08-17 14:15,Caution
Iceland,Vestmannaeyjar,Atlantic/Reykjavik,2024-08-17 12:15,Caution
India,New Delhi,Asia/Kolkata,2024-08-17 17:30,Caution
Indonesia,Jakarta,Asia/Jakarta,2024-08-17 19:15,Unsafe
Iran,Tehran,Asia/Tehran,2024-08-17 15:30,Caution
Iraq,Baghdad,Asia/Baghdad,2024-08-17 15:15,Safe
Ireland,Dublin,Europe/Dublin,2024-08-17 13:15,Safe
Israel,Jerusalem,Asia/Jerusalem,2024-08-17 15:15,Caution
Italy,Rome,Europe/Rome,2024-08-17 14:15,Safe
Jamaica,Port Royal,America/Jamaica,2024-08-17 07:15,Caution
Japan,Tokyo,Asia/Tokyo,2024-08-17 21:15,Caution
Jordan,Amman,Asia/Amman,2024-08-17 15:15,Caution
Kazakhstan,Astana,Asia/Almaty,2024-08-17 17:15,Safe
Kenya,Nairobi,Africa/Nairobi,2024-08-17 15:15,Safe
Kiribati,Tarawa,Pacific/Tarawa,2024-08-18 00:15,Caution
Kuwait,Kuwait City,Asia/Kuwait,2024-08-17 15:15,Caution
Kyrghyzstan,Bishkek,Asia/Bishkek,2024-08-17 18:15,Safe
Indonesia,Laos,Asia/Jakarta,2024-08-17 19:15,Caution
Latvia,Riga,Europe/Riga,2024-08-17 15:15,Caution
Lebanon,Beirut,Asia/Beirut,2024-08-17 15:15,Caution
Lesotho,Maseru,Africa/Johannesburg,2024-08-17 14:15,Safe
Liberia,Monrovia,Africa/Monrovia,2024-08-17 12:15,Caution
Thailand,Nan,Asia/Bangkok,2024-08-17 19:15,Unsafe
Liechtenstein,Vaduz,Europe/Vaduz,2024-08-17 14:15,Safe
Lithuania,Vilnius,Europe/Vilnius,2024-08-17 15:15,Safe
Luxembourg,Luxembourg,Europe/Luxembourg,2024-08-17 14:15,Safe
Madagascar,Antananarivo,Indian/Antananarivo,2024-08-17 15:15,Safe
Malawi,Lilongwe,Africa/Blantyre,2024-08-17 14:15,Safe
Malaysia,Kuala Lumpur,Asia/Kuala_Lumpur,2024-08-17 20:15,Unsafe
Maldives,Dhidhdhoo,Indian/Maldives,2024-08-17 17:15,Unsafe
Mali,Bamako,Africa/Bamako,2024-08-17 12:15,Unsafe
Malta,Valletta,Europe/Malta,2024-08-17 14:15,Caution
Marshall Islands,Majuro,Pacific/Majuro,2024-08-18 00:15,Caution
Mauritania,Nouakchott,Africa/Nouakchott,2024-08-17 12:15,Caution
Mauritius,Port Louis,Indian/Mauritius,2024-08-17 16:15,Safe
Mexico,Mexico City,America/Mexico_City,2024-08-17 06:15,Unsafe
Micronesia,Palikir,Pacific/Pohnpei,2024-08-17 23:15,Unsafe
Iran,Chi Chi Khvar,Asia/Tehran,2024-08-17 15:45,Safe
Monaco,Monaco,Europe/Monaco,2024-08-17 14:15,Safe
Mongolia,Ulaanbaatar,Asia/Ulaanbaatar,2024-08-17 20:15,Caution
Montenegro,Podgorica,Europe/Podgorica,2024-08-17 14:15,Safe
Morocco,Rabat,Africa/Casablanca,2024-08-17 13:15,Caution
Mozambique,Maputo,Africa/Maputo,2024-08-17 14:15,Caution
Myanmar,Yangon,Asia/Yangon,2024-08-17 18:45,Unsafe
Namibia,Windhoek,Africa/Windhoek,2024-08-17 14:15,Safe
Turkey,Yaren,Europe/Istanbul,2024-08-17 15:15,Caution
Nepal,Kathmandu,Asia/Kathmandu,2024-08-17 18:00,Safe
Netherlands,Amsterdam,Europe/Amsterdam,2024-08-17 14:00,Safe
New Zealand,Wellington,Pacific/Auckland,2024-08-18 00:15,Caution
Nicaragua,Managua,America/Managua,2024-08-17 06:15,Unsafe
Niger,Niamey,Africa/Niamey,2024-08-17 13:15,Caution
Nigeria,Abuja,Africa/Lagos,2024-08-17 13:15,Safe
North Korea,Pyongyang,Asia/Pyongyang,2024-08-17 21:15,Unsafe
Macedonia,Skopje,Europe/Skopje,2024-08-17 14:15,Safe
Norway,Oslo,Europe/Oslo,2024-08-17 14:15,Unsafe
Oman,Muscat,Asia/Muscat,2024-08-17 16:15,Caution
Pakistan,Islamabad,Asia/Karachi,2024-08-17 17:15,Unsafe
Palau,Airai,Pacific/Palau,2024-08-17 21:15,Caution
Bolivia,National,America/La_Paz,2024-08-17 08:15,Unsafe
Panama,Panama City,America/Panama,2024-08-17 07:15,Unsafe
Papua New Guinea,Port Moresby,Pacific/Port_Moresby,2024-08-17 22:15,Caution
Paraguay,Aurora,America/Argentina/Cordoba,2024-08-17 09:15,Caution
Peru,Lima,America/Lima,2024-08-17 07:15,Caution
Philippines,Manila,Asia/Manila,2024-08-17 20:15,Caution
Poland,Warsaw,Europe/Warsaw,2024-08-17 14:15,Safe
Portugal,Lisbon,Europe/Lisbon,2024-08-17 13:15,Safe
Qatar,Doha,Asia/Qatar,2024-08-17 15:15,Caution
Romania,Bucharest,Europe/Bucharest,2024-08-17 15:15,Safe
Russia,Moscow,Europe/Moscow,2024-08-17 15:15,Safe
Rwanda,Kigali,Africa/Kigali,2024-08-17 14:15,Safe
Saint Kitts and Nevis,Basseterre,America/St_Kitts,2024-08-17 08:15,Caution
Saint Lucia,Castries,America/St_Lucia,2024-08-17 08:15,Caution
Saint Vincent and the Grenadines,Kingstown,America/St_Vincent,2024-08-17 08:15,Safe
Samoa,Apia,Pacific/Apia,2024-08-18 01:15,Unsafe
San Marino,San Marino,Europe/Rome,2024-08-17 14:15,Safe
Belgium,'S Gravenjansdijk,Europe/Brussels,2024-08-17 14:15,Safe
Saudi Arabia,Riyadh,Asia/Riyadh,2024-08-17 15:15,Caution
Senegal,Dakar,Africa/Dakar,2024-08-17 12:15,Safe
Serbia,Belgrade,Europe/Belgrade,2024-08-17 14:15,Safe
Seychelles Islands,Victoria,Indian/Mahe,2024-08-17 16:15,Caution
Sierra Leone,Freetown,Africa/Freetown,2024-08-17 12:15,Caution
Singapore,Singapore,Asia/Singapore,2024-08-17 20:15,Caution
Slovakia,Bratislava,Europe/Bratislava,2024-08-17 14:15,Safe
Slovenia,Ljubljana,Europe/Ljubljana,2024-08-17 14:15,Safe
Solomon Islands,Honiara,Pacific/Guadalcanal,2024-08-17 23:15,Caution
Somalia,Mogadishu,Africa/Mogadishu,2024-08-17 15:15,Caution
South Africa,Pretoria,Africa/Johannesburg,2024-08-17 14:15,Caution
South Korea,Seoul,Asia/Seoul,2024-08-17 21:15,Unsafe
Sudan,Juba,Africa/Khartoum,2024-08-17 14:15,Safe
Spain,Madrid,Europe/Madrid,2024-08-17 14:15,Safe
Sri Lanka,Colombo,Asia/Colombo,2024-08-17 17:45,Unsafe
Sudan,Khartoum,Africa/Khartoum,2024-08-17 14:15,Safe
Suriname,Paramaribo,America/Paramaribo,2024-08-17 09:15,Caution
Sweden,Stockholm,Europe/Stockholm,2024-08-17 14:15,Safe
Switzerland,Bern,Europe/Zurich,2024-08-17 14:15,Safe
Syria,Damascus,Asia/Damascus,2024-08-17 15:15,Safe
Tajikistan,Dushanbe,Asia/Dushanbe,2024-08-17 17:15,Caution
Tanzania,Dodoma,Africa/Dar_es_Salaam,2024-08-17 15:15,Safe
Thailand,Bangkok,Asia/Bangkok,2024-08-17 19:15,Safe
Timor-Leste,Dili,Asia/Dili,2024-08-17 21:15,Caution
Vietnam,Ban Lom,Asia/Bangkok,2024-08-17 19:15,Unsafe
Tonga,Nuku`Aloia,Pacific/Tongatapu,2024-08-18 01:15,Unsafe
Trinidad and Tobago,Port Of Spain,America/Port_of_Spain,2024-08-17 08:15,Safe
Tunisia,Tunis,Africa/Tunis,2024-08-17 13:15,Caution
Turkey,Ankara,Europe/Istanbul,2024-08-17 15:15,Safe
Turkmenistan,Ashgabat,Asia/Ashgabat,2024-08-17 17:15,Safe
Tuvalu,Funafuti,Pacific/Funafuti,2024-08-18 00:15,Caution
Uganda,Kampala,Africa/Kampala,2024-08-17 15:15,Safe
Ukraine,Kyiv,Europe/Kiev,2024-08-17 15:15,Safe
United Arab Emirates,Abu Dhabi,Asia/Dubai,2024-08-17 16:15,Unsafe
United Kingdom,London,Europe/London,2024-08-17 13:15,Safe
United States of America,Washington Harbor,America/Los_Angeles,2024-08-17 05:15,Unsafe
Uruguay,Montevideo,America/Montevideo,2024-08-17 09:15,Caution
Uzbekistan,Tashkent,Asia/Tashkent,2024-08-17 17:15,Safe
Vanuatu,Port Vila,Pacific/Efate,2024-08-17 23:15,Unsafe
Venezuela,Caracas,America/Caracas,2024-08-17 08:15,Caution
Vietnam,Hanoi,Asia/Bangkok,2024-08-17 19:15,Unsafe
Yemen,Sanaa,Asia/Aden,2024-08-17 15:15,Caution
Zambia,Lusaka,Africa/Lusaka,2024-08-17 14:15,Safe
Zimbabwe,Harare,Africa/Harare,2024-08-17 14:15,Safe
Afghanistan,Kabul,Asia/Kabul,2024-08-18 16:30,Safe
Albania,Tirana,Europe/Tirane,2024-08-18 14:00,Safe
Algeria,Algiers,Africa/Algiers,2024-08-18 13:00,Safe
Andorra,Andorra La Vella,Europe/Andorra,2024-08-18 14:00,Safe
Angola,Luanda,Africa/Luanda,2024-08-18 13:00,Unsafe
Antigua and Barbuda,Saint John's,America/Antigua,2024-08-18 08:00,Caution
Argentina,Buenos Aires,America/Argentina/Buenos_Aires,2024-08-18 09:00,Unsafe
Armenia,Yerevan,Asia/Yerevan,2024-08-18 16:00,Safe
Australia,Canberra,Australia/Sydney,2024-08-18 22:00,Unsafe
Austria,Vienna,Europe/Vienna,2024-08-18 14:00,Safe
Azerbaijan,Baku,Asia/Baku,2024-08-18 16:00,Caution
Bahamas,Nassau,America/Nassau,2024-08-18 08:00,Safe
Bahrain,Manama,Asia/Bahrain,2024-08-18 15:00,Caution
Bangladesh,Dhaka,Asia/Dhaka,2024-08-18 18:00,Caution
Barbados,Bridgetown,America/Barbados,2024-08-18 08:00,Unsafe
Belarus,Minsk,Europe/Minsk,2024-08-18 15:00,Safe
Belgium,Brussels,Europe/Brussels,2024-08-18 14:00,Safe
Belize,Belmopan,America/Belize,2024-08-18 06:00,Unsafe
Benin,Porto-Novo,Africa/Porto-Novo,2024-08-18 13:00,Safe
Bhutan,Thimphu,Asia/Thimphu,2024-08-18 18:00,Unsafe
Bolivia,Sucre,America/La_Paz,2024-08-18 08:00,Safe
Bosnia and Herzegovina,Sarajevo,Europe/Sarajevo,2024-08-18 14:00,Safe
Botswana,Gaborone,Africa/Gaborone,2024-08-18 14:00,Safe
Brazil,Bras,America/Manaus,2024-08-18 08:00,Safe
Brunei Darussalam,Bandar Seri Begawan,Asia/Brunei,2024-08-18 20:00,Safe
Bulgaria,Sofia,Europe/Sofia,2024-08-18 15:00,Safe
Burkina Faso,Ouagadougou,Africa/Ouagadougou,2024-08-18 12:00,Safe
Burundi,Bujumbura,Africa/Bujumbura,2024-08-18 14:00,Caution
Madagascar,Ivory,Indian/Antananarivo,2024-08-18 15:00,Safe
Cape Verde,Praia,Atlantic/Cape_Verde,2024-08-18 11:00,Unsafe
Cambodia,Phnom Penh,Asia/Phnom_Penh,2024-08-18 19:00,Safe
Cameroon,Ngaoundere,Africa/Douala,2024-08-18 13:00,Unsafe
Canada,Ottawa,America/Toronto,2024-08-18 08:00,Unsafe
Central African Republic,Bangui,Africa/Bangui,2024-08-18 13:00,Safe
Chad,N'djamena,Africa/Douala,2024-08-18 13:00,Safe
Chile,Santiago,America/Santiago,2024-08-18 08:00,Unsafe
China,Beijing,Asia/Shanghai,2024-08-18 20:00,Unsafe
Bulgaria,Bogot,Europe/Sofia,2024-08-18 15:00,Safe
Comoros,Moroni,Indian/Comoro,2024-08-18 15:00,Safe
Congo,Brazzaville,Africa/Brazzaville,2024-08-18 13:00,Safe
Costa Rica,San Ignacio,America/Costa_Rica,2024-08-18 06:00,Unsafe
Croatia,Zagreb,Europe/Zagreb,2024-08-18 14:00,Safe
Cuba,Havana,America/Havana,2024-08-18 08:00,Unsafe
Cyprus,Nicosia,Asia/Famagusta,2024-08-18 15:00,Caution
Czech Republic,Prague,Europe/Prague,2024-08-18 14:00,Safe
Democratic Republic of Congo,Kinshasa,Africa/Brazzaville,2024-08-18 13:00,Safe
Denmark,Copenhagen,Europe/Copenhagen,2024-08-18 14:00,Safe
Djibouti,Djibouti,Africa/Djibouti,2024-08-18 15:00,Safe
Dominica,Roseau,America/Dominica,2024-08-18 08:00,Safe
Dominican Republic,Santo Domingo,America/Santo_Domingo,2024-08-18 08:00,Unsafe
Ecuador,Quito,America/Guayaquil,2024-08-18 07:00,Safe
Egypt,Cairo,Africa/Cairo,2024-08-18 15:00,Safe
El Salvador,San Salvador,America/El_Salvador,2024-08-18 06:00,Unsafe
Equatorial Guinea,Malabo,Africa/Malabo,2024-08-18 13:00,Caution
Eritrea,Asmara,Africa/Asmara,2024-08-18 15:00,Safe
Estonia,Tallinn,Europe/Tallinn,2024-08-18 15:00,Safe
Swaziland,Mbabane,Africa/Mbabane,2024-08-18 14:00,Caution
Ethiopia,Addis Ababa,Africa/Addis_Ababa,2024-08-18 15:00,Caution
Fiji Islands,Suva,Pacific/Fiji,2024-08-19 00:00,Unsafe
Finland,Helsinki,Europe/Helsinki,2024-08-18 15:00,Safe
France,Paris,Europe/Paris,2024-08-18 14:00,Safe
Gabon,Libreville,Africa/Libreville,2024-08-18 13:00,Safe
Gambia,Banjul,Africa/Banjul,2024-08-18 12:00,Caution
Georgia,Tbilisi,Asia/Tbilisi,2024-08-18 16:00,Safe
Germany,Berlin,Europe/Berlin,2024-08-18 14:00,Safe
Ghana,Accra,Africa/Accra,2024-08-18 12:00,Safe
Greece,Athens,Europe/Athens,2024-08-18 15:00,Safe
Grenada,Saint George's,America/Grenada,2024-08-18 08:00,Caution
Guatemala,Guatemala City,America/Guatemala,2024-08-18 06:00,Unsafe
Guinea,Conakry,Africa/Conakry,2024-08-18 12:00,Unsafe
Guinea-Bissau,Bissau,Africa/Bissau,2024-08-18 12:00,Caution
Guyana,Georgetown,America/Guyana,2024-08-18 08:00,Caution
Haiti,Port-Au-Prince,America/Port-au-Prince,2024-08-18 08:00,Caution
Vatican City,Vatican City,Europe/Rome,2024-08-18 14:00,Safe
Honduras,Tegucigalpa,America/Tegucigalpa,2024-08-18 06:00,Caution
Hungary,Budapest,Europe/Budapest,2024-08-18 14:00,Safe
Iceland,Vestmannaeyjar,Atlantic/Reykjavik,2024-08-18 12:00,Caution
India,New Delhi,Asia/Kolkata,2024-08-18 17:30,Safe
Indonesia,Jakarta,Asia/Jakarta,2024-08-18 19:00,Unsafe
Iran,Tehran,Asia/Tehran,2024-08-18 15:30,Caution
Iraq,Baghdad,Asia/Baghdad,2024-08-18 15:00,Caution
Ireland,Dublin,Europe/Dublin,2024-08-18 13:00,Caution
Israel,Jerusalem,Asia/Jerusalem,2024-08-18 15:00,Caution
Italy,Rome,Europe/Rome,2024-08-18 14:00,Safe
Jamaica,Port Royal,America/Jamaica,2024-08-18 07:00,Caution
Japan,Tokyo,Asia/Tokyo,2024-08-18 21:00,Caution
Jordan,Amman,Asia/Amman,2024-08-18 15:00,Safe
Kazakhstan,Astana,Asia/Almaty,2024-08-18 17:00,Caution
Kenya,Nairobi,Africa/Nairobi,2024-08-18 15:00,Safe
Kiribati,Tarawa,Pacific/Tarawa,2024-08-19 00:00,Safe
Kuwait,Kuwait City,Asia/Kuwait,2024-08-18 15:00,Caution
Kyrghyzstan,Bishkek,Asia/Bishkek,2024-08-18 18:00,Caution
Indonesia,Laos,Asia/Jakarta,2024-08-18 19:00,Caution
Latvia,Riga,Europe/Riga,2024-08-18 15:00,Safe
Lebanon,Beirut,Asia/Beirut,2024-08-18 15:00,Caution
Lesotho,Maseru,Africa/Johannesburg,2024-08-18 14:00,Safe
Liberia,Monrovia,Africa/Monrovia,2024-08-18 12:00,Caution
Thailand,Nan,Asia/Bangkok,2024-08-18 19:00,Safe
Liechtenstein,Vaduz,Europe/Vaduz,2024-08-18 14:00,Unsafe
Lithuania,Vilnius,Europe/Vilnius,2024-08-18 15:00,Safe
Luxembourg,Luxembourg,Europe/Luxembourg,2024-08-18 14:00,Safe
Madagascar,Antananarivo,Indian/Antananarivo,2024-08-18 15:00,Caution
Malawi,Lilongwe,Africa/Blantyre,2024-08-18 14:00,Safe
Malaysia,Kuala Lumpur,Asia/Kuala_Lumpur,2024-08-18 20:00,Unsafe
Maldives,Dhidhdhoo,Indian/Maldives,2024-08-18 17:00,Unsafe
Mali,Bamako,Africa/Bamako,2024-08-18 12:00,Safe
Malta,Valletta,Europe/Malta,2024-08-18 14:00,Safe
Marshall Islands,Majuro,Pacific/Majuro,2024-08-19 00:00,Caution
Mauritania,Nouakchott,Africa/Nouakchott,2024-08-18 12:00,Caution
Mauritius,Port Louis,Indian/Mauritius,2024-08-18 16:00,Caution
Mexico,Mexico City,America/Mexico_City,2024-08-18 06:00,Caution
Micronesia,Palikir,Pacific/Pohnpei,2024-08-18 23:00,Unsafe
Iran,Chi Chi Khvar,Asia/Tehran,2024-08-18 15:30,Safe
Monaco,Monaco,Europe/Monaco,2024-08-18 14:00,Safe
Mongolia,Ulaanbaatar,Asia/Ulaanbaatar,2024-08-18 20:00,Safe
Montenegro,Podgorica,Europe/Podgorica,2024-08-18 14:00,Safe
Morocco,Rabat,Africa/Casablanca,2024-08-18 13:00,Safe
Mozambique,Maputo,Africa/Maputo,2024-08-18 14:00,Safe
Myanmar,Yangon,Asia/Yangon,2024-08-18 18:30,Unsafe
Namibia,Windhoek,Africa/Windhoek,2024-08-18 14:00,Safe
Turkey,Yaren,Europe/Istanbul,2024-08-18 15:00,Safe
Nepal,Kathmandu,Asia/Kathmandu,2024-08-18 17:45,Unsafe
Netherlands,Amsterdam,Europe/Amsterdam,2024-08-18 14:00,Safe
New Zealand,Wellington,Pacific/Auckland,2024-08-19 00:00,Caution
Nicaragua,Managua,America/Managua,2024-08-18 06:00,Unsafe
Niger,Niamey,Africa/Niamey,2024-08-18 13:00,Safe
Nigeria,Abuja,Africa/Lagos,2024-08-18 13:00,Caution
North Korea,Pyongyang,Asia/Pyongyang,2024-08-18 21:00,Unsafe
Macedonia,Skopje,Europe/Skopje,2024-08-18 14:00,Caution
Norway,Oslo,Europe/Oslo,2024-08-18 14:00,Unsafe
Oman,Muscat,Asia/Muscat,2024-08-18 16:00,Caution
Pakistan,Islamabad,Asia/Karachi,2024-08-18 17:00,Caution
Palau,Airai,Pacific/Palau,2024-08-18 21:00,Caution
